ISO3,Country,region,sub-region,Latitude,Longitude,Life Expectancy at Birth (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021)
GMB,Gambia,Africa,Sub-Saharan Africa,13.443182,-15.310139,62.083,4.637487411,2172.207664,26.928,26.928,27.076,27.076,27.076,27.076,27.076,17.46726,17.46726,17.46726,17.46726
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,11.803749,-15.180413,59.6523,3.583719,1908.24159,32.5,32.5,32.5,32.5,32.5,37.9,37.9,37.9,37.9,37.9,37.9
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,1.650801,10.267895,60.5943,5.910863,12073.95993,,,,,,,,,,,
GRC,Greece,Europe,Southern Europe,39.074208,21.824312,80.1106,11.40853024,29002.48545,18.07374,20.64323,21.08044,20.69059,20.80284,21.03849,19.47699,17.44667,17.44667,16.63777,16.63777
GRD,Grenada,Americas,Latin America and the Caribbean,12.262776,-61.604171,74.9362,9.032104,13483.5774,,,,,,,,,,,
GTM,Guatemala,Americas,Latin America and the Caribbean,15.783471,-90.230759,69.2368,5.681300163,8723.285317,44.16,44.16,44.16,29.56,29.56,29.56,29.56,29.56,29.56,29.56,29.56
GUY,Guyana,Americas,Latin America and the Caribbean,4.860416,-58.93018,65.6734,8.617477,22464.65734,24.44892,24.44892,24.44892,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
HKG,Hong Kong,Asia,Eastern Asia,22.396428,114.109497,85.4734,12.22620964,62606.8454,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964,25.56271964
HND,Honduras,Americas,Latin America and the Caribbean,15.199999,-86.241905,70.1229,7.088479996,5297.955301,40.756529,41.696769,36.962278,36.258039,35.659413,37.548218,36.45059,36.194995,34.911526,34.911526,34.911526
HRV,Croatia,Europe,Southern Europe,45.1,15.2,77.5804,12.19108434,30132.28814,17.56036,17.24145,17.60962,17.36734,17.36734,16.8815,15.18866,14.37065,14.37065,12.9537,12.9537
HTI,Haiti,Americas,Latin America and the Caribbean,18.971187,-72.285215,63.1924,5.554,2847.500746,47.863,48.39911,48.39911,48.39911,48.39911,50.43867,50.43867,50.43867,50.43867,50.43867,50.43867
HUN,Hungary,Europe,Eastern Europe,47.162494,19.503304,74.5301,12.24958992,32789.01063,13.11032,12.61731,14.48154,14.58424,15.2567,14.73987,16.05152,13.93919,13.93919,12.29405,12.29405
IDN,Indonesia,Asia,South-eastern Asia,-0.789275,113.921327,67.5703,8.556509972,11466.06836,,17.2563,17.2563,17.2563,17.2563,17.2563,20.11727,20.11727,20.11727,20.11727,20.11727
IND,India,Asia,Southern Asia,20.593684,78.96288,67.2398,6.655109195,6589.980037,19.16,19.16,19.16,19.16,19.369,19.369,19.369,19.369,19.369,19.369,19.369
IRL,Ireland,Europe,Northern Europe,53.41291,-8.24389,81.9976,11.58222303,76168.98443,13.79216,13.79216,16.32331,18.11922,18.11922,18.11922,14.70554,14.70554,14.70554,12.26296,12.26296
IRN,Iran,Asia,Southern Asia,32.427908,53.688046,73.8749,10.63645314,13000.7117,,,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189,19.71428189
IRQ,Iraq,Asia,Western Asia,33.223191,43.679291,70.3779,7.905593489,9977.249073,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,16.14712,12.67895,12.67895,12.67895,12.67895
ISL,Iceland,Europe,Northern Europe,64.963051,-19.020835,82.6782,13.76716995,55782.04981,11.61685,12.21693,11.14863,10.17085,11.67254,9.80916,9.80916,9.51407,9.51407,9.51407,9.51407
ISR,Israel,Asia,Western Asia,31.046051,34.851612,82.255,13.3448664,41523.74319,24.997,24.546,24.546,22.984,22.984,23.689,23.689,23.134,23.134,23.134,23.134
ITA,Italy,Europe,Southern Europe,41.87194,12.56738,82.8502,10.7401104,42839.51441,19.82056,19.84636,20.5853,21.26166,21.26166,21.26166,21.34472,21.17692,20.87235,20.87235,20.87235
JAM,Jamaica,Americas,Latin America and the Caribbean,18.109581,-77.297508,70.5003,9.154628661,8834.47567,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616,31.96616
JOR,Jordan,Asia,Western Asia,30.585164,36.238414,74.2563,10.44668007,9923.714974,21.07619,20.49108,20.49108,20.49108,20.49108,20.49108,17.91185,17.91185,17.91185,17.91185,17.91185
JPN,Japan,Asia,Eastern Asia,36.204824,138.252924,84.7839,13.36610034,42274.29134,14.557639,14.557639,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889,16.662889
KAZ,Kazakhstan,Asia,Central Asia,48.019573,66.923684,69.3622,12.34756189,23942.81837,12.65731,12.65731,12.65731,12.65731,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987,10.33987
KEN,Kenya,Africa,Sub-Saharan Africa,-0.023559,37.906193,61.427,6.652,4473.570344,35.96532,35.96532,35.96532,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821,33.14821
KGZ,Kyrgyzstan,Asia,Central Asia,41.20438,74.766098,69.9774,11.37410556,4566.303831,24.05403,17.73515,17.73515,12.17395,12.17395,12.17395,12.17395,13.83059,13.83059,13.83059,13.83059
KHM,Cambodia,Asia,South-eastern Asia,12.565679,104.990963,69.5835,5.088,4078.697154,20.28995,20.28995,20.28995,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211,14.34211
KIR,Kiribati,Oceania,Micronesia,-3.370417,-168.734039,67.4172,7.984461822,4062.586034,,,,,,,,19.35687,19.35687,19.35687,19.35687
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,17.357822,-62.782998,71.6822,8.662745,23358.33212,,,,,,,,,,,
KOR,South Korea,Asia,Eastern Asia,35.907757,127.766922,83.6978,12.51293027,44500.93187,17.25,16.69,16.69,16.05,16.05,16.13,16.13,16.13,16.13,16.13,16.13
KWT,Kuwait,Asia,Western Asia,29.31166,47.481766,78.6729,7.328022618,52919.76137,,,,,,,,,,,
LAO,Lao,Asia,South-eastern Asia,19.85627,102.495496,68.0608,5.374,7699.579617,20.56506,20.3255,20.3255,20.3255,20.3255,20.3255,20.58334,20.58334,20.58334,20.58334,20.58334
LBN,Lebanon,Asia,Western Asia,33.854721,35.862285,75.0472,8.718636,9525.831467,,,,,,,,,,,
LBR,Liberia,Africa,Sub-Saharan Africa,6.428055,-9.429499,60.7472,5.082,1288.74235,19.004,19.004,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,22.72204,19.74577,19.74577
LBY,Libya,Africa,Northern Africa,26.3351,17.228331,71.9112,7.599985,15335.712,,,,,,,,,,,
LCA,Saint Lucia,Americas,Latin America and the Caribbean,13.909444,-60.978893,71.1114,8.545040131,12048.30381,,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586,27.39586
LIE,Liechtenstein,Europe,Western Europe,47.166,9.555373,83.2575,12.53854,146829.7006,,,,,,,,,,,
LKA,Sri Lanka,Asia,Southern Asia,7.873054,80.771797,76.3991,10.82730007,12578.22055,,,,,,22.36351,22.36351,22.36351,22.36351,22.36351,22.36351
LSO,Lesotho,Africa,Sub-Saharan Africa,-29.609988,28.233608,53.062,6.010184707,2700.435748,47.03917,47.03917,47.03917,41.1,41.1,41.1,41.1,29.57664,29.57664,29.57664,29.57664
LTU,Lithuania,Europe,Northern Europe,55.169438,23.881275,73.7201,13.49810028,37931.30359,18.5545,17.48654,19.6098,19.72888,19.72888,23.66926,21.80475,20.12206,20.12206,17.05362,17.05362
LUX,Luxembourg,Europe,Western Europe,49.815273,6.129583,82.6287,13.01519217,84649.47467,13.12387,13.8947,15.0531,14.95153,14.95153,14.95153,16.64219,18.68508,18.68508,16.6522,16.6522
LVA,Latvia,Europe,Northern Europe,56.879635,24.603189,73.5786,13.25271988,32803.23423,19.80556,20.52043,20.20879,20.38932,20.29483,20.29483,18.5306,19.33165,19.33165,17.45024,17.45024
MAR,Morocco,Africa,Northern Africa,31.791702,-7.09262,74.0419,5.916,7302.81917,,,,,,,22.50352,22.50352,22.50352,22.50352,22.50352
MCO,Monaco,Europe,Western Europe,43.750298,7.412841,85.9463,9.306864107,12306.341,,,,,,,,,,,
MDA,Moldova,Europe,Eastern Europe,47.411631,28.369885,68.8459,11.82159042,14875.33189,13.56489292,12.31469122,11.79960639,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208,10.43722208
MDG,Madagascar,Africa,Sub-Saharan Africa,-18.766947,46.869107,64.4853,5.120468534,1483.520983,36.07534,36.07534,20.43828,20.43828,20.43828,20.43828,20.43828,27.557,27.557,27.557,27.557
MDV,Maldives,Asia,Southern Asia,3.202778,73.22068,79.9182,7.322,15448.12788,23.15146,23.15146,23.15146,23.15146,23.15146,25.8459,25.8459,25.8459,25.8459,25.8459,25.8459
MEX,Mexico,Americas,Latin America and the Caribbean,23.634501,-102.552784,70.2127,9.221050262,17896.29498,32.397166,33.945796,33.945796,33.733936,33.733936,30.804773,30.804773,29.798888,29.798888,29.798888,29.798888
MHL,Marshall Islands,Oceania,Micronesia,7.131474,171.184478,65.2688,10.88313961,4619.535393,,,,,,,,,,,
MKD,North Macedonia,Europe,Southern Europe,41.608635,21.745275,73.8415,10.22815037,15917.75283,30.06879,30.06879,30.06879,30.06879,30.06879,30.06879,,19.15726,19.15726,19.15726,19.15726
MLI,Mali,Africa,Sub-Saharan Africa,17.570692,-3.996166,58.9414,2.31,2132.629443,,,16.09936,16.09936,15.36232,15.36232,15.36232,16.56372,16.56372,16.56372,16.56372
MLT,Malta,Europe,Southern Europe,35.937496,14.375416,83.7769,12.21026039,38884.45623,14.07223,13.33752,13.61073,12.92401,12.92401,12.92401,12.4718,12.58503,12.58503,13.85802,13.85802
MMR,Myanmar,Asia,South-eastern Asia,21.913965,95.956223,65.6716,6.37680006,3850.524234,5.845033545,5.845033545,5.845033545,5.845033545,5.845033545,,,,,,
MNE,Montenegro,Europe,Southern Europe,42.708678,19.37439,76.3426,12.17648306,20838.80129,,,13.61438,13.61438,13.61438,13.61438,13.61438,16.92405,16.92405,16.92405,16.92405
MNG,Mongolia,Asia,Eastern Asia,46.862496,103.846656,70.9754,9.423700333,10588.22532,,,,15.7,15.7,15.7,15.7,16.94628,16.94628,16.94628,16.94628
MOZ,Mozambique,Africa,Sub-Saharan Africa,-18.665695,35.529562,59.3247,3.197641838,1198.073924,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454,28.39454
MRT,Mauritania,Africa,Sub-Saharan Africa,21.00789,-10.940835,64.3636,4.918804891,5075.305711,24.61075,24.61075,24.61075,24.61075,24.61075,24.61075,,,,17.33987,17.33987
MUS,Mauritius,Africa,Sub-Saharan Africa,-20.348404,57.552152,73.5552,10.42791048,22025.34631,,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242,18.18098242
MWI,Malawi,Africa,Sub-Saharan Africa,-13.254308,34.301525,62.9044,4.489695385,1465.635064,23.11335,27.68067,27.68067,32.50092,32.50092,32.4,32.4,32.4,32.4,31.27695,31.27695
MYS,Malaysia,Asia,South-eastern Asia,4.210484,101.975766,74.8839,10.64505959,26657.94355,,,,,,,,,,,
NAM,Namibia,Africa,Sub-Saharan Africa,-22.95764,18.49041,59.269,7.192013277,8633.504452,68.337,68.337,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558,53.58558
NER,Niger,Africa,Sub-Saharan Africa,17.607789,8.081666,61.5763,2.116717299,1239.866936,14.0452243,14.0452243,14.0452243,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921,16.43389921
NGA,Nigeria,Africa,Sub-Saharan Africa,9.081999,8.675277,52.676,7.181074153,4790.284425,25.2387,25.2387,28.39144,28.39144,28.5,28.5,28.15838,28.05169,28.05169,28.05169,28.05169
NIC,Nicaragua,Americas,Latin America and the Caribbean,12.865416,-85.207229,73.8368,7.144,5624.793595,28.280595,28.280595,28.280595,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801,30.693801
NLD,Netherlands,Europe,Western Europe,52.132633,5.291266,81.6873,12.58162975,55979.411,11.84238,11.58106,11.92161,13.21864,12.65944,12.91624,12.06279,11.79038,11.79038,11.89275,11.89275
NOR,Norway,Europe,Northern Europe,60.472024,8.468946,83.2339,13.00362968,64660.10622,10.66178,10.22623,10.35374,11.10429,10.98418,11.83017,12.73364,11.53728,11.53728,11.43144,11.43144
NPL,Nepal,Asia,Southern Asia,28.394857,84.124008,68.4495,5.121792742,3877.315444,15.12801,15.12801,15.12801,13.91179,13.91179,16.31632,16.31632,16.31632,16.31632,16.31632,16.31632
NRU,Nauru,Oceania,Micronesia,-0.522778,166.931503,63.617,9.306864107,17729.74084,,,,,,,,,,,
NZL,New Zealand,Oceania,Australia and New Zealand,-40.900557,174.885971,82.4513,12.94468975,44057.31394,17.89395295,17.89395295,15.5550993,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836,16.44939836
OMN,Oman,Asia,Western Asia,21.512583,55.923255,72.5406,11.65404034,27054.32505,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691,20.08885691
PAK,Pakistan,Asia,Southern Asia,30.375321,69.345116,66.0979,4.536330223,4623.70543,11.135,11.135,11.5844,11.5844,11.5844,11.5844,17.23416,17.23416,17.23416,17.23416,17.23416
PAN,Panama,Americas,Latin America and the Caribbean,8.537981,-80.782127,76.2233,10.54059029,26956.83707,38.307814,39.443256,38.480642,37.867415,37.731409,37.586143,36.912765,36.116696,36.569706,36.569706,36.569706
PER,Peru,Americas,Latin America and the Caribbean,-9.189967,-75.015152,72.3769,9.885518863,12245.89366,30.39803,30.269547,29.46403,28.515106,28.662495,29.000943,28.568666,27.311426,26.300654,26.300654,26.300654
PHL,Philippines,Asia,South-eastern Asia,12.879721,121.774017,69.2664,8.969099998,8920.428468,29.98014,29.98014,26.78594,26.78594,26.78594,26.78594,28.09546,28.09546,28.09546,28.09546,28.09546
PLW,Palau,Oceania,Micronesia,7.51498,134.58252,66.0204,12.49143,13818.67869,23.035,,,,,,,,,,
PNG,Papua New Guinea,Oceania,Melanesia,-6.314993,143.95555,65.3506,4.74,4008.623573,,,,,,28.89932,28.89932,28.89932,28.89932,28.89932,28.89932
POL,Poland,Europe,Eastern Europe,51.919438,19.145136,76.4572,13.1647501,33033.96081,17.89968,17.5211,17.2853,17.38732,17.38732,16.85896,14.38105,13.14542,13.14542,12.10742,12.10742
PRK,North Korea,Asia,Eastern Asia,40.339852,127.510093,73.2845,9.306864107,12306.341,,,,,,,,,,,
PRT,Portugal,Europe,Southern Europe,39.399872,-8.224454,81.0443,9.575940132,33154.53343,19.91121,20.34969,20.3843,20.55516,20.29714,20.22231,18.05881,16.50867,16.50867,15.46189,15.46189
PRY,Paraguay,Americas,Latin America and the Caribbean,-23.442503,-58.443832,70.2617,8.861840248,12349.286,39.391454,33.496745,33.348347,36.867216,32.986751,33.109204,34.15507,31.289717,30.441064,30.441064,30.441064
PSE,"Palestine, State of",Asia,Western Asia,31.952162,35.233154,73.4727,9.938480377,6582.899416,30.32,28.41,28.41,28.41,28.41,28.41,31.64,31.64,31.64,31.64,31.64
QAT,Qatar,Asia,Western Asia,25.354826,51.183884,79.2716,9.99601145,87134.13469,,,,,,,,,,,
ROU,Romania,Europe,Eastern Europe,45.943161,24.96676,74.1847,11.27511978,30027.29131,17.3499,17.13169,16.1572,18.66331,18.66331,19.01055,20.73769,22.52086,22.52086,20.89714,20.89714
RUS,Russian Federation,Europe,Eastern Europe,61.52401,105.318756,69.419,12.77428805,27166.30891,20.827,20.827,19.444,19.138,18.673,18.664,17.934,17.643,17.645,17.645,17.645
RWA,Rwanda,Africa,Sub-Saharan Africa,-1.940278,29.873888,66.0722,4.425292358,2209.795202,30.24238,30.24238,35.17475,35.17475,36.39382,36.39382,36.39382,36.39382,36.39382,27.19248,27.19248
SAU,Saudi Arabia,Asia,Western Asia,23.885942,45.079162,76.936,11.31052971,46111.55135,,,,,,,,,,,
SDN,Sudan,Africa,Northern Africa,12.862807,30.217636,65.2667,3.82,3575.19084,21.21147,21.21147,21.21147,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
